CPU time (s),GPU time (s), Cycle
0.000683,0.000453,420
0.000684,0.000457,421
0.000683,0.000456,422
0.000683,0.000448,423
0.000683,0.000451,424
0.000684,0.000434,425
0.000684,0.000429,426
0.000682,0.000452,427
0.000684,0.000481,428
0.000722,0.000444,429
0.000716,0.000417,430
0.000729,0.000466,431
0.000679,0.000419,432
0.000683,0.000449,433
0.000685,0.000494,434
0.000685,0.000486,435
0.000683,0.000505,436
0.000685,0.000466,437
0.000684,0.000459,438
0.000682,0.000445,439
0.000682,0.000451,440
0.000683,0.000455,441
0.000682,0.000455,442
0.000683,0.000495,443
0.000682,0.000485,444
0.000722,0.000413,445
0.000722,0.000406,446
0.000720,0.000436,447
0.000713,0.000448,448
0.000684,0.000444,449
0.000684,0.000445,450
0.000684,0.000440,451
0.000682,0.000442,452
0.000682,0.000448,453
0.000681,0.000387,454
0.000682,0.000408,455
0.000682,0.000413,456
0.000684,0.000468,457
0.000683,0.000493,458
0.000686,0.000493,459
0.000684,0.000452,460
0.000682,0.000454,461
0.000682,0.000446,462
0.000683,0.000463,463
0.000682,0.000486,464
0.000683,0.000494,465
0.000726,0.000462,466
0.000722,0.000452,467
0.000721,0.000456,468
0.000683,0.000435,469
0.000685,0.000454,470
0.000684,0.000430,471
0.000685,0.000453,472
0.000683,0.000428,473
0.000683,0.000445,474
0.000682,0.000462,475
0.000685,0.000458,476
0.000683,0.000451,477
0.000683,0.000453,478
0.000683,0.000420,479
0.000684,0.000466,480
0.000683,0.000425,481
0.000683,0.000467,482
0.000682,0.000445,483
0.000683,0.000424,484
0.000683,0.000425,485
0.000725,0.000426,486
0.000719,0.000415,487
0.000718,0.000414,488
0.000720,0.000421,489
0.000681,0.000423,490
0.000685,0.000413,491
0.000684,0.000475,492
0.000684,0.000445,493
0.000682,0.000458,494
0.000685,0.000464,495
0.000682,0.000452,496
0.000682,0.000428,497
0.000682,0.000494,498
0.000684,0.000465,499
0.000684,0.000524,500
0.000683,0.000491,501
0.000685,0.000509,502
0.000683,0.000530,503
0.000683,0.000481,504
0.000725,0.000468,505
0.000720,0.000455,506
0.000719,0.000450,507
0.000681,0.000470,508
0.000685,0.000480,509
0.000686,0.000465,510
0.000685,0.000467,511
0.000682,0.000454,512
0.000682,0.000463,513
0.000683,0.000455,514
0.000684,0.000453,515
0.000683,0.000457,516
0.000684,0.000436,517
0.000682,0.000472,518
0.000683,0.000453,519
0.000683,0.000466,520
0.000685,0.000485,521
0.000680,0.000445,522
