CPU time (s),GPU time (s), Cycle
0.000679,0.000416,453
0.000676,0.000465,454
0.000679,0.000449,455
0.000678,0.000471,456
0.000677,0.000439,457
0.000678,0.000454,458
0.000677,0.000476,459
0.000675,0.000471,460
0.000675,0.000473,461
0.000675,0.000464,462
0.000675,0.000469,463
0.000694,0.000462,464
0.000700,0.000437,465
0.000695,0.000416,466
0.000699,0.000444,467
0.000678,0.000418,468
0.000677,0.000417,469
0.000675,0.000413,470
0.000677,0.000451,471
0.000678,0.000475,472
0.000675,0.000454,473
0.000675,0.000466,474
0.000679,0.000474,475
0.000675,0.000469,476
0.000675,0.000464,477
0.000675,0.000437,478
0.000674,0.000471,479
0.000673,0.000462,480
0.000674,0.000441,481
0.000675,0.000438,482
0.000677,0.000469,483
0.000673,0.000477,484
0.000676,0.000440,485
0.000674,0.000435,486
0.000700,0.000461,487
0.000701,0.000444,488
0.000693,0.000425,489
0.000673,0.000472,490
0.000673,0.000476,491
0.000676,0.000474,492
0.000676,0.000465,493
0.000677,0.000463,494
0.000676,0.000428,495
0.000677,0.000448,496
0.000677,0.000489,497
0.000678,0.000440,498
0.000675,0.000473,499
0.000676,0.000444,500
0.000676,0.000440,501
0.000675,0.000463,502
0.000676,0.000489,503
0.000677,0.000416,504
0.000675,0.000483,505
0.000698,0.000475,506
0.000700,0.000466,507
0.000702,0.000459,508
0.000677,0.000480,509
0.000677,0.000470,510
0.000677,0.000472,511
0.000675,0.000468,512
0.000676,0.000441,513
0.000675,0.000444,514
0.000675,0.000471,515
0.000676,0.000444,516
0.000676,0.000413,517
0.000675,0.000444,518
0.000677,0.000485,519
0.000678,0.000493,520
0.000701,0.000448,521
0.000696,0.000465,522
0.000698,0.000468,523
0.000694,0.000439,524
0.000677,0.000439,525
0.000675,0.000463,526
0.000676,0.000450,527
0.000674,0.000462,528
0.000674,0.000439,529
0.000678,0.000471,530
0.000675,0.000468,531
0.000674,0.000477,532
0.000678,0.000537,533
0.000680,0.000488,534
0.000676,0.000471,535
0.000674,0.000467,536
0.000674,0.000440,537
0.000676,0.000425,538
0.000677,0.000446,539
0.000676,0.000524,540
0.000675,0.000422,541
0.000673,0.000518,542
0.000701,0.000489,543
