CPU time (s),GPU time (s), Cycle
0.000683,0.000382,491
0.000680,0.000353,492
0.000680,0.000369,493
0.000681,0.000334,494
0.000680,0.000344,495
0.000681,0.000353,496
0.000682,0.000334,497
0.000681,0.000628,498
0.000683,0.000514,499
0.000681,0.000371,500
0.000682,0.000416,501
0.001813,0.000635,502
0.000680,0.000423,503
0.000681,0.000415,504
0.000691,0.000380,505
0.000682,0.000376,506
0.000681,0.000365,507
0.000680,0.000371,508
0.000681,0.000342,509
0.000680,0.000384,510
0.000681,0.000365,511
0.000679,0.000337,512
0.000681,0.000392,513
0.000681,0.000381,514
0.000679,0.000346,515
0.000681,0.000420,516
0.000680,0.000338,517
0.000679,0.000367,518
0.000679,0.000344,519
0.000679,0.000362,520
0.000680,0.000325,521
0.000681,0.000366,522
0.000682,0.000410,523
0.000680,0.000397,524
0.000681,0.000334,525
0.000679,0.000408,526
0.000691,0.000424,527
0.000681,0.000362,528
0.000677,0.000386,529
0.000681,0.000366,530
0.000691,0.000366,531
0.000680,0.000338,532
0.000680,0.000341,533
0.000681,0.000338,534
0.000688,0.000332,535
0.000681,0.000410,536
0.000680,0.000372,537
0.000682,0.000396,538
0.000681,0.000337,539
0.000682,0.000415,540
0.000683,0.000501,541
0.000702,0.000448,542
0.000684,0.000498,543
0.000683,0.000548,544
0.000686,0.000525,545
0.000685,0.000565,546
0.000683,0.000541,547
0.000684,0.000521,548
0.000683,0.000557,549
0.000693,0.000476,550
0.000682,0.000517,551
0.000681,0.000469,552
0.000684,0.000544,553
0.000693,0.000504,554
0.000720,0.000495,555
0.000725,0.000472,556
0.000682,0.000559,557
0.000681,0.000509,558
0.000682,0.000517,559
0.000691,0.000509,560
0.000716,0.000564,561
0.000683,0.000527,562
0.000682,0.000455,563
0.000684,0.000461,564
0.000682,0.000495,565
0.000681,0.000448,566
0.000684,0.000481,567
0.000683,0.000480,568
0.000694,0.000455,569
0.000683,0.000429,570
0.000684,0.000457,571
0.000681,0.000423,572
0.000683,0.000441,573
0.000683,0.000459,574
0.000682,0.000444,575
0.000692,0.000434,576
0.000685,0.001095,577
0.000681,0.001069,578
0.000683,0.001072,579
0.000683,0.001066,580
0.000689,0.001067,581
0.000682,0.001074,582
0.000682,0.001065,583
0.000707,0.001076,584
0.000681,0.001065,585
0.000691,0.001064,586
0.000682,0.001079,587
0.000681,0.001092,588
0.000683,0.001131,589
0.000681,0.001096,590
0.000682,0.001085,591
0.000686,0.001110,592
0.000725,0.001078,593
0.000682,0.001052,594
0.000682,0.001062,595
0.000692,0.001073,596
0.000682,0.001051,597
0.000695,0.001080,598
0.000682,0.001052,599
0.000682,0.001047,600
0.000682,0.001063,601
0.000681,0.001055,602
0.000692,0.001073,603
0.000681,0.001058,604
0.000683,0.001026,605
0.000680,0.001057,606
0.000680,0.001045,607
0.000687,0.001013,608
0.000682,0.001031,609
0.000680,0.001087,610
0.000683,0.001081,611
0.000684,0.001043,612
0.000686,0.001017,613
0.000682,0.001023,614
0.000680,0.001023,615
0.000681,0.001005,616
0.000680,0.001025,617
0.000679,0.001017,618
0.000682,0.001025,619
0.000688,0.001050,620
0.000680,0.001042,621
0.000681,0.001082,622
0.000681,0.001041,623
0.000682,0.001046,624
0.000681,0.001036,625
0.000680,0.001030,626
0.000681,0.001045,627
0.000680,0.001035,628
0.000679,0.001038,629
0.000681,0.001018,630
0.000681,0.001090,631
0.000684,0.001003,632
0.000685,0.001094,633
0.000684,0.001080,634
0.000682,0.001060,635
0.000679,0.001029,636
0.000691,0.001076,637
0.000680,0.001083,638
0.000693,0.001074,639
0.000681,0.001026,640
0.000680,0.001059,641
0.000686,0.001042,642
0.000680,0.001043,643
0.000688,0.001057,644
0.000680,0.001045,645
0.000691,0.001048,646
0.000680,0.001045,647
0.000680,0.001035,648
0.000680,0.001081,649
0.000679,0.001043,650
